lag_bucket,documents,share
Negative (review),0,0.0
Same day,407,0.4221991701244813
1–7 days,138,0.14315352697095435
8–30 days,70,0.07261410788381743
31–365 days,324,0.3360995850622407
More than 365 days,25,0.025933609958506226
